rider,place,grade,usual_grade,club,day,month
15652,3,B,B,WaratahMastersCC,29,1
14579,4,B,B,PenrithCC,29,1
15531,5,B,B,LidcombeAuburnCC,29,1
12780,,C,C,WaratahMastersCC,29,1
14775,,C,C,WaratahMastersCC,29,1
14701,,C,C,WaratahMastersCC,29,1
14531,,C,C,WaratahMastersCC,29,1
14387,,C,C,WaratahMastersCC,29,1
12730,,C,C,WaratahMastersCC,29,1
12443,,C,C,WaratahMastersCC,29,1
15576,,C,C,WaratahMastersCC,29,1
16051,,C,C,ParklifeCC,29,1
15838,,C,C,StGeorgeCC,29,1
14890,,C,C,WaratahMastersCC,29,1
12479,,C,C,WaratahMastersCC,29,1
13535,,C,C,WaratahMastersCC,29,1
15992,,C,C,SydneyCC,29,1
14896,,C,B,WaratahMastersCC,29,1
14148,,C,C,WaratahMastersCC,29,1
12502,,C,C,WaratahMastersCC,29,1
15521,,C,C,WaratahMastersCC,29,1
14330,,C,C,CaravelloCC,29,1
3692,,C,C,WaratahMastersCC,29,1
12633,,C,C,Bicisport,29,1
13912,,C,C,IllawarraCC,29,1
16019,,C,C,DulwichHillBC,29,1
14388,,C,C,WaratahMastersCC,29,1
15942,,C,C,WaratahMastersCC,29,1
15875,1,C,C,CaravelloCC,29,1
14691,2,C,C,WaratahMastersCC,29,1
16016,3,C,C,PenrithCC,29,1
15681,4,C,C,LidcombeAuburnCC,29,1
12367,5,C,C,WaratahMastersCC,29,1
13437,,D,D,WaratahMastersCC,29,1
12481,,D,D,WaratahMastersCC,29,1
12483,,D,D,WaratahMastersCC,29,1
15857,,D,D,WaratahMastersCC,29,1
14791,,D,D,WaratahMastersCC,29,1
15150,,D,D,SutherlandShireCC,29,1
12362,,D,D,WaratahMastersCC,29,1
14830,,D,D,WaratahMastersCC,29,1
12385,,D,D,WaratahMastersCC,29,1
15827,,D,D,StGeorgeCC,29,1
14895,,D,D,WaratahMastersCC,29,1
12373,,D,D,WaratahMastersCC,29,1
15523,,D,D,ManlyWarringahCC,29,1
12603,,D,D,BankstownSportsCC,29,1
15844,,D,D,SydneyCC,29,1
3655,,D,D,WaratahMastersCC,29,1
12468,,D,E,WaratahMastersCC,29,1
12679,,D,D,WaratahMastersCC,29,1
12334,,D,D,WaratahMastersCC,29,1
14907,,D,D,WaratahMastersCC,29,1
12406,,D,D,WaratahMastersCC,29,1
12439,,D,D,WaratahMastersCC,29,1
15914,1,D,D,SutherlandShireCC,29,1
13780,2,D,D,WaratahMastersCC,29,1
12528,3,D,D,LidcombeAuburnCC,29,1
16055,4,D,D,ManlyWarringahCC,29,1
5058,5,D,D,WaratahMastersCC,29,1
12434,,E,E,WaratahMastersCC,29,1
12335,,E,E,WaratahMastersCC,29,1
15517,,E,E,WaratahMastersCC,29,1
14115,,E,E,WaratahMastersCC,29,1
